linear regression,0.8996432171
bayesian inference,0.8983522032
parameter estimation,0.8979974485
random variable,0.8951028078
density estimation,0.8936059141
sensitivity analysis,0.8913803645
logistic regression,0.8901159445
categorical data,0.8883676610
decision tree,0.8875053159
feature selection,0.8867201833
data mining,0.8862213982
independent component analysis,0.8858893651
density function,0.8858353924
interval type,0.8832574620
set theory,0.8831165927
likelihood ratio test,0.8823785472
random field,0.8816137083
likelihood ratio,0.8807949272
principal component analysis,0.8786267832
exponential distribution,0.8755151894
maximum entropy,0.8730633586
high dimensional data,0.8691823354
statistical inference,0.8689503924
neural network,0.8677312351
maximum likelihood,0.8674672174
ratio test,0.8668758924
failure rate,0.8656883259
rough set,0.8654512640
confidence interval,0.8653603933
mutual information,0.8650418373
dimension reduction,0.8646482811
gaussian mixture,0.8642453025
covariance matrix,0.8613077209
dimensionality reduction,0.8610151445
normal distribution,0.8603162738
clinical trial,0.8589906061
markov model,0.8572976082
cross validation,0.8565713555
bayesian analysis,0.8549974392
random forest,0.8541973584
markov chain,0.8531909754
factor analysis,0.8513733429
maximum likelihood estimation,0.8500119116
regression analysis,0.8492831130
nonparametric density estimation,0.8492405949
kernel density,0.8484264668
probability density,0.8484062183
semi parametric,0.8471873689
bayesian network,0.8467001579
gaussian mixture model,0.8464824457
fuzzy logic,0.8459572688
unit root,0.8455306969
hidden markov model,0.8437829935
kernel density estimation,0.8436762861
nonlinear mix,0.8427182513
error variable,0.8420502496
finite sample,0.8405310006
finite mixture,0.8387021981
gene expression,0.8370806748
monte carlo,0.8362660684
hidden markov,0.8337272987
latent variable,0.8244455613
cluster analysis,0.8224176714
gaussian distribution,0.8211664253
nonparametric estimation,0.8205552545
bayesian approach,0.8199895054
nonlinear regression,0.8157280435
stochastic volatility,0.8125330793
random effect,0.8111151028
model selection,0.8096291976
cluster algorithm,0.8081730785
dimensional data,0.8077210960
data envelopment analysis,0.8061405528
vary coefficient,0.8056760274
hypothesi teste,0.8002695315
mixture model,0.7988803629
data model,0.7987648972
change point,0.7949218172
linear model,0.7910112674
fuzzy set,0.7807705049
data envelopment,0.7797068590
interval censor,0.7786700433
compete risk,0.7776267941
distribution function,0.7768536970
proportional hazard model,0.7744097454
gaussian processes,0.7723375032
markov decision processes,0.7721708988
gene expression data,0.7717659586
importance sample,0.7657278072
graphical model,0.7633150012
em algorithm,0.7577771762
generalize linear,0.7567703295
binary data,0.7524843010
contingency table,0.7483809728
sample data,0.7470048713
rough set approach,0.7460180812
fuzzy set application,0.7423431159
canonical correlation,0.7374086168
multi criteria group,0.7290604693
linear mix,0.7270038179
generalize linear model,0.7260823030
efficient estimation,0.7259008025
distance measure,0.7245464703
gaussian markov random field,0.7234311184
correlation coefficient,0.7221272489
order statistic,0.7210102902
fuzzy inference,0.7206005558
nonparametric regression,0.7193970276
portfolio selection,0.7193183876
approximate bayesian,0.7180583808
multiple criteria decision,0.7132087156
expression data,0.7128215954
correlation analysis,0.7102786691
functional data,0.7100631657
effect model,0.7088059480
linear regression model,0.7084796176
linguistic information application,0.7084089392
likelihood inference,0.7059423395
generalize estimate equation,0.7050267689
multiple comparison,0.7026962710
membership function,0.7013162791
set approach,0.6967357508
mix model,0.6966970871
variational bayesian,0.6932290945
prior distribution,0.6853276529
likelihood estimation,0.6845023565
attribute reduction,0.6832895752
markov random field,0.6832235556
large data set,0.6793650223
count data,0.6775653350
variance estimation,0.6750519974
skew normal,0.6748717463
uncertain linguistic,0.6740911199
fuzzy information,0.6657639006
incomplete data,0.6657235878
statistical analysis,0.6607113960
linguistic information,0.6591053940
bandwidth selection,0.6585256030
partial linear single index,0.6560018987
function estimation,0.6541481347
independent component,0.6518244003
decision processes,0.6463877394
probability distribution,0.6420939645
interval censor data,0.6418802458
similarity measure,0.6388598908
markov random,0.6368148451
application group,0.6346293592
rough set theory,0.6303334621
markov decision,0.6265963045
gaussian markov random,0.6248259793
roc curve,0.6201168236
bootstrap test,0.6196679660
support vector regression,0.6193293952
robust estimation,0.6186864084
variable selection,0.6186094380
bayesian nonparametric,0.6176800656
envelopment analysis,0.6148982356
multi criteria group decision,0.5929509918
multiple criteria,0.5920949431
random walk,0.5919667628
hazard model,0.5869474805
criteria group,0.5846518230
set membership,0.5836810355
simultaneous confidence,0.5831988814
event data,0.5801132105
operator application group,0.5790509181
error estimation,0.5728069683
type ii censor sample,0.5717813753
fit test,0.5715599023
inverse gaussian,0.5711388347
estimation partial linear,0.5686180090
generalize linear mix,0.5680591925
generalize distribution,0.5672574232
information application,0.5641007331
higher order,0.5609586622
weight information,0.5567882019
confidence interval estimation,0.5565220924
empirical likelihood,0.5539173551
data analysis,0.5419570338
support vector,0.5381662197
canonical correlation analysis,0.5356579750
linear program,0.5347394421
sample size determination,0.5323807439
inference generalize,0.5320067616
multi attribute,0.5287930412
linguistic preference relation,0.5182936006
fuzzy rough,0.5165070777
latent variable model,0.5161837507
covariance matrices,0.5150236842
panel unit root,0.5139999872
gaussian process,0.5121408277
current status data,0.5093404998
fuzzy multi criteria,0.5085027389
inference generalize linear,0.5079810031
local influence,0.5064424501
hybrid multiple attribute decision make,0.5056585849
stochastic model,0.5053042376
bivariate distribution,0.5051053656
fuzzy multi criteria decision,0.5036971081
incomplete information,0.5026674398
hierarchical cluster,0.4968448365
censor data,0.4967939790
component analysis,0.4961048378
data set,0.4957212922
reliability analysis,0.4938215017
partial linear single,0.4916981776
intuitionistic fuzzy information,0.4916129198
nonlinear mix effect model,0.4885198497
interval estimation,0.4865548591
application group decision,0.4855092586
small sample,0.4853386586
likelihood inference generalize,0.4850907472
estimate equation,0.4845317599
type ii,0.4807906385
gamma distribution,0.4795787459
control chart,0.4790861399
likelihood approach,0.4784367539
bayesian estimation,0.4782861996
linear combination,0.4777654468
survival data,0.4754043416
